# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10596
#@/user_id	fwar34_sync
a 	啊	c=7 d=0.803193 t=10596
bu tong zhi ke hu duan 	不通知客戶端	c=1 d=1.62921e-07 t=10596
bu tui chu 	不退出	c=1 d=1.92181e-09 t=10596
bu wei 	不爲	c=2 d=0.110213 t=10596
bu xian shi 	不顯示	c=1 d=0.0051953 t=10596
bu xiang tong 	不相同	c=1 d=0.000106752 t=10596
bu xie 	不屑	c=1 d=0.0342181 t=10596
bu xing 	不行	c=3 d=0.0187177 t=10596
bu xing le 	不行了	c=1 d=0.366045 t=10596
bu xu yao 	不需要	c=1 d=3.24035e-08 t=10596
bu ya 	補牙	c=1 d=0.00128757 t=10596
bu yao 	不要	c=4 d=0.309271 t=10596
bu yi 	不宜	c=1 d=0.13332 t=10596
bu yi ding 	不一定	c=3 d=0.0401585 t=10596
bu yi lai 	不依賴	c=2 d=0.000513168 t=10596
bu yi yang 	不一樣	c=3 d=0.207008 t=10596
bu yi zhi 	不一致	c=7 d=0.465409 t=10596
bu ying da 	不應答	c=1 d=2.76077e-06 t=10596
bu ying gai 	不應該	c=1 d=0.501576 t=10596
bu ying xiang 	不影響	c=7 d=0.532592 t=10596
bu yong 	不用	c=11 d=0.695189 t=10596
bu yong guan 	不用管	c=1 d=0.257947 t=10596
bu yong le 	不用了	c=1 d=0.00229965 t=10596
bu yong xie le 	不用寫了	c=1 d=0.00582847 t=10596
bu zai 	不再	c=2 d=1.7494e-07 t=10596
bu zheng que 	不正確	c=1 d=0.0125881 t=10596
bu zhi chi 	不支持	c=1 d=0.38868 t=10596
bu zhi dao 	不知道	c=4 d=0.404542 t=10596
bu zhou 	步驟	c=3 d=0.472371 t=10596
bu zhuan 	不轉	c=2 d=0.0103719 t=10596
bu zhuan huan 	不轉換	c=2 d=0.0180098 t=10596
bu zou 	不走	c=2 d=0.332252 t=10596
cai 	才	c=8 d=0.093954 t=10596
cai hui 	纔會	c=5 d=0.468186 t=10596
cai neng 	才能	c=3 d=0.00736522 t=10596
cai xing 	才行	c=2 d=0.13466 t=10596
cai yang lv 	採樣率	c=1 d=0.0113334 t=10596
can hui 	參會	c=9 d=1.02533 t=10596
can hui ren 	參會人	c=4 d=0.27172 t=10596
can shu 	參數	c=1 d=0.0120946 t=10596
cang ku 	倉庫	c=1 d=0.856415 t=10596
cao 	草	c=0 d=0.0744532 t=10596
cao zuo 	操作	c=17 d=0.951383 t=10596
cao zuo guo 	操作過	c=1 d=0.752014 t=10596
cao zuo guo 	草做過	c=1 d=0.748264 t=10596
ce shi 	測試	c=77 d=5.23014 t=10596
ce shi ge 	測試個	c=1 d=0.70822 t=10596
ce shi guo 	測試過	c=1 d=3.76475e-08 t=10596
ce shi le 	測試了	c=2 d=0.927743 t=10596
ce shi tu 	側視圖	c=1 d=0.000471307 t=10596
ce shi xia 	測試下	c=13 d=3.88989 t=10596
cha 	查	c=17 d=1.10903 t=10596
cha bu dao 	查不到	c=7 d=0.97531 t=10596
cha bu le 	查不了	c=1 d=0.00117088 t=10596
cha dao 	查到	c=0 d=1.23154e-10 t=10596
cha dao le 	查到了	c=1 d=1.23771e-09 t=10596
cha le 	查了	c=1 d=0.00568457 t=10596
cha xia 	查下	c=5 d=0.557106 t=10596
cha xia lai 	插下來	c=1 d=0.0475963 t=10596
cha xia lai 	查下來	c=1 d=0.0478349 t=10596
chan pin 	產品	c=1 d=0.0149956 t=10596
chan xian 	產線	c=6 d=0.79956 t=10596
chang du 	長度	c=1 d=3.50963e-06 t=10596
chang jing 	場景	c=5 d=0.132655 t=10596
chao guo 	超過	c=1 d=0.197899 t=10596
che di 	徹底	c=1 d=0.00133343 t=10596
chen 	陳	c=1 d=0.918512 t=10596
cheng 	成	c=16 d=0.275265 t=10596
cheng gong 	成功	c=13 d=0.317264 t=10596
cheng xu 	程序	c=5 d=0.714523 t=10596
chi chi chi chi chi 	叱吒叱叱吒	c=0 d=1.7558e-06 t=10596
chi chi chi chi chi chi chi chi chi chi 	叱吒叱叱吒叱吒叱叱吒	c=1 d=1.7646e-05 t=10596
chong fu 	重複	c=2 d=0.1013 t=10596
chong hu 	重呼	c=1 d=0.00197932 t=10596
chong qi 	重啓	c=9 d=1.32137 t=10596
chong qi hou 	重啓後	c=1 d=5.58833e-08 t=10596
chong shi 	重試	c=1 d=0.0350844 t=10596
chong xin 	重新	c=34 d=3.37593 t=10596
chong ya 	蟲牙	c=1 d=0.00130703 t=10596
chu 	出	c=4 d=0.0539348 t=10596
chu bao 	出包	c=33 d=2.74674 t=10596
chu bao le 	出包了	c=2 d=0.53782 t=10596
chu chai 	出差	c=3 d=0.379083 t=10596
chu fa 	出發	c=1 d=0.0122773 t=10596
chu fa 	觸發	c=6 d=0.0220437 t=10596
chu fei 	除非	c=2 d=0.0574251 t=10596
chu ge 	出個	c=8 d=1.01607 t=10596
chu guo 	出過	c=1 d=0.392586 t=10596
chu lai 	出來	c=4 d=0.0134335 t=10596
chu le 	出了	c=3 d=0.0406594 t=10596
chu le ge 	出了個	c=1 d=0.408608 t=10596
chu li 	處理	c=4 d=0.418203 t=10596
chu shi hua 	初始化	c=1 d=0.0773047 t=10596
chu wen ti 	出問題	c=4 d=0.904991 t=10596
chu xia 	出下	c=1 d=5.67279e-08 t=10596
chu xian 	出現	c=8 d=0.937067 t=10596
chuan 	串	c=1 d=0.0880685 t=10596
chuan di 	傳遞	c=5 d=0.0325561 t=10596
chuan gei 	傳給	c=2 d=0.0106738 t=10596
chuan guo lai 	傳過來	c=1 d=0.860708 t=10596
chuan shu 	傳輸	c=3 d=6.40959e-05 t=10596
chuang jian 	創建	c=1 d=0.000277414 t=10596
chuang kou 	窗口	c=2 d=0.631284 t=10596
chun 	純	c=1 d=0.0101022 t=10596
ci 	次	c=4 d=0.00652193 t=10596
ci 	此	c=1 d=0.0190631 t=10596
cong 	從	c=32 d=0.728857 t=10596
cong ke hu duan 	從客戶端	c=1 d=0.183599 t=10596
cun 	存	c=0 d=0.000486835 t=10596
cun chu 	存儲	c=1 d=0.839457 t=10596
cun dao 	存到	c=1 d=1.20987e-06 t=10596
cun guo qu 	存過去	c=1 d=0.00489275 t=10596
cun zai 	存在	c=1 d=0.0146261 t=10596
cuo le 	錯了	c=0 d=0.00317456 t=10596
cuo nen 	錯嫩	c=2 d=0.025223 t=10596
cuo wu 	錯誤	c=2 d=0.133065 t=10596
cuo wu ma 	錯誤碼	c=1 d=0.12493 t=10596
da 	大	c=2 d=0.0187826 t=10596
da 	打	c=1 d=0.321528 t=10596
da 	達	c=2 d=0.0871609 t=10596
da bu 	大步	c=1 d=3.86071e-10 t=10596
da cheng 	打成	c=1 d=0.0380064 t=10596
da de 	大的	c=1 d=0.00414854 t=10596
da dian hua 	打電話	c=2 d=0.00351956 t=10596
da gai 	大概	c=1 d=0.396531 t=10596
da kai 	打開	c=39 d=1.24964 t=10596
da ni dian hua 	打你電話	c=1 d=0.000665481 t=10596
da ri zhi 	打日誌	c=1 d=0.831104 t=10596
da shi hou 	打時候	c=1 d=0.00280879 t=10596
da shu ju 	大數據	c=1 d=0.0104621 t=10596
da shu ju 	打數據	c=1 d=0.00351752 t=10596
da wo 	打我	c=3 d=0.336216 t=10596
da xiao 	大小	c=1 d=0.00366107 t=10596
da xie 	大寫	c=1 d=0.0137049 t=10596
da yu 	大於	c=5 d=0.190267 t=10596
dai 	代	c=2 d=0.0102904 t=10596
dai 	待	c=1 d=0.065377 t=10596
dai 	戴	c=2 d=0.00524752 t=10596
dai de 	帶的	c=1 d=0.00164502 t=10596
dai dong 	戴東	c=12 d=1.46676 t=10596
dai fu xian 	待復現	c=4 d=0.657047 t=10596
dai le 	帶了	c=1 d=0.00185476 t=10596
dai ma 	代碼	c=33 d=2.66751 t=10596
dan du 	單獨	c=1 d=6.00905e-09 t=10596
dan ge 	單個	c=1 d=0.00250366 t=10596
dan shi 	但是	c=22 d=1.03813 t=10596
dang 	當	c=1 d=1.96063e-09 t=10596
dang qian 	當前	c=3 d=0.00010859 t=10596
dang shi 	當時	c=19 d=0.813287 t=10596
dao 	到	c=41 d=0.694907 t=10596
dao chu 	導出	c=1 d=1 t=10596
dao da 	到達	c=3 d=0.372014 t=10596
dao da 	盜打	c=1 d=0.0735345 t=10596
dao le 	到了	c=1 d=3.8794e-08 t=10596
dao shi 	到時	c=2 d=0.891366 t=10596
dao shi hou 	到時候	c=1 d=0.00653881 t=10596
dao zhi 	導致	c=7 d=0.00395179 t=10596
de 	的	c=796 d=15.7292 t=10596
de kan 	的看	c=1 d=0.0108347 t=10596
de rang 	的讓	c=1 d=4.95725e-10 t=10596
deng 	等	c=11 d=1.50619 t=10596
deng chu bao 	等出包	c=1 d=0.965605 t=10596
deng dai 	等待	c=9 d=1.20713 t=10596
deng hui lai 	等回來	c=1 d=0.00229965 t=10596
deng ni 	等你	c=1 d=0.145148 t=10596
deng xia 	燈下	c=1 d=0.148166 t=10596
deng xia 	等下	c=2 d=3.44887e-05 t=10596
di 	第	c=2 d=0.71177 t=10596
di er ge 	第二個	c=4 d=0.0620626 t=10596
di fang 	地方	c=6 d=0.00848513 t=10596
di que 	的確	c=5 d=0.0347495 t=10596
di san 	第三	c=1 d=0.00729913 t=10596
di san fang 	第三方	c=1 d=0.0154523 t=10596
di san ge 	第三個	c=2 d=0.00653881 t=10596
di tu 	地圖	c=1 d=0.0178634 t=10596
di xia 	地下	c=0 d=0.0980199 t=10596
di xia 	底下	c=1 d=0.0985112 t=10596
di yi ci 	第一次	c=3 d=0.192244 t=10596
di yi ge 	第一個	c=14 d=0.136781 t=10596
di zhi 	地址	c=2 d=0.339596 t=10596
dian 	電	c=1 d=0.000837575 t=10596
dian 	點	c=7 d=0.591257 t=10596
dian hou 	點後	c=1 d=0.107528 t=10596
dian hua 	電話	c=98 d=3.69531 t=10596
dian ji 	點擊	c=1 d=0.0401553 t=10596
dian nao 	電腦	c=1 d=0.666977 t=10596
diao 	掉	c=1 d=0.0657047 t=10596
diao le 	掉了	c=2 d=0.00267395 t=10596
diao qi 	吊起	c=0 d=0.066034 t=10596
diao qi chuan 	吊起串	c=12 d=2.34751 t=10596
diao qi chuan 	掉氣喘	c=1 d=0.66034 t=10596
diao yong 	調用	c=5 d=0.392082 t=10596
ding hao 	訂好	c=1 d=0.0155297 t=10596
ding le 	定了	c=1 d=0.554327 t=10596
ding shi qi 	定時器	c=1 d=0.000808767 t=10596
ding yi 	定義	c=3 d=0.000958635 t=10596
diu shi 	丟失	c=1 d=5.10735e-08 t=10596
dong 	東	c=1 d=0.0409665 t=10596
dong guo 	動過	c=1 d=0.292293 t=10596
dong tai 	動態	c=1 d=0.000800719 t=10596
dong xi 	東西	c=4 d=0.778801 t=10596
dong zuo 	動作	c=2 d=0.00225413 t=10596
dou 	都	c=49 d=0.61691 t=10596
dou hui 	都會	c=3 d=0.223515 t=10596
dou mei 	都沒	c=1 d=0.011109 t=10596
dou shi 	都是	c=16 d=0.920443 t=10596
dou wan cheng 	都完成	c=1 d=4.21195e-05 t=10596
dou yao 	都要	c=4 d=0.00771183 t=10596
dou you 	都有	c=5 d=1.28718 t=10596
duan 	段	c=3 d=0.0315882 t=10596
duan 	短	c=1 d=0.00296761 t=10596
duan 	端	c=3 d=0.479505 t=10596
duan kai 	斷開	c=2 d=0.100761 t=10596
duan kou 	端口	c=2 d=0.00477195 t=10596
duan xian 	斷線	c=3 d=0.1489 t=10596
duan xian qian 	斷線前	c=1 d=0.0500366 t=10596
duan zhi nei 	段之內	c=1 d=0.257947 t=10596
dui 	對	c=5 d=0.0409269 t=10596
dui bi 	對比	c=1 d=0.000104117 t=10596
dui bu shang 	對不上	c=6 d=2.65314 t=10596
dui lie 	隊列	c=3 d=0.175414 t=10596
dui qi 	對齊	c=2 d=0.67368 t=10596
dui wai 	對外	c=1 d=0.0816756 t=10596
dui xia 	對蝦	c=1 d=1.36083e-07 t=10596
dui ying 	對應	c=5 d=0.0842488 t=10596
dui zhan 	堆棧	c=5 d=1.41929 t=10596
duo 	多	c=2 d=0.0172499 t=10596
duo ce shi xia 	多測試下	c=1 d=0.00336274 t=10596
duo ci 	多次	c=4 d=0.201897 t=10596
duo da 	多大	c=0 d=0.0109701 t=10596
duo ge 	多個	c=1 d=0.0025415 t=10596
duo le 	多了	c=2 d=0.00299743 t=10596
duo le shi 	多樂士	c=1 d=1.20674e-05 t=10596
duo shao 	多少	c=8 d=1.99337 t=10596
duo xie 	多些	c=1 d=0.0575558 t=10596
duo xie 	多謝	c=10 d=1.4536 t=10596
e 	額	c=9 d=0.673379 t=10596
en 	恩	c=165 d=6.5233 t=10596
er 	而	c=2 d=0.00292342 t=10596
er bu shi 	而不是	c=1 d=0.0422141 t=10596
er qie 	而且	c=6 d=0.617287 t=10596
fa 	發	c=23 d=0.694679 t=10596
fa ba 	發吧	c=1 d=4.4501e-05 t=10596
fa chu bao 	發出包	c=2 d=0.323043 t=10596
fa gei 	發給	c=2 d=0.245367 t=10596
fa guo lai 	發過來	c=1 d=1.03632e-08 t=10596
fa le 	發了	c=1 d=3.16034e-08 t=10596
fa qi 	發起	c=2 d=0.18452 t=10596
fa sheng de 	發生地	c=0 d=0.1 t=10594
fa song 	發送	c=36 d=0.378859 t=10596
fa song le 	發送了	c=1 d=0.726149 t=10596
fa wo xia 	發我下	c=1 d=2.2049e-08 t=10596
fa xia 	發下	c=17 d=1.17792 t=10596
fa xian 	發現	c=3 d=0.0250972 t=10596
fa yan 	發言	c=1 d=0.000614317 t=10596
fa you jian 	發郵件	c=8 d=0.985163 t=10596
fa you jian le 	發郵件了	c=1 d=5.7298e-08 t=10596
fan hui 	返回	c=13 d=0.242876 t=10596
fan hui zhi 	返回值	c=2 d=0.00516939 t=10596
fan kui 	反饋	c=1 d=1.45925e-05 t=10596
fan le 	反了	c=1 d=0.0378169 t=10596
fan wei 	範圍	c=1 d=3.99755e-08 t=10596
fan ye 	翻頁	c=3 d=1.99005 t=10596
fan ying 	反應	c=2 d=0.022612 t=10596
fang bian 	方便	c=1 d=0.0963276 t=10596
fang fa 	方法	c=1 d=0.000476044 t=10596
fang jia 	放假	c=1 d=0.00138093 t=10596
fang kuo hao 	方括號	c=1 d=1.09303 t=10596
fang zhi 	防止	c=2 d=0.00047843 t=10596
fei 	非	c=3 d=0.000970611 t=10596
fei jin 	費勁	c=0 d=0.0190139 t=10596
fei jing yin 	非靜音	c=1 d=0.00975476 t=10596
fei qi 	廢棄	c=1 d=0.394142 t=10596
fei qi le 	廢棄了	c=1 d=0.355226 t=10596
fei shu zi 	非數字	c=2 d=2.99523e-09 t=10596
fei ti 	飛梯	c=1 d=0.00172074 t=10596
fen 	分	c=4 d=0.0464207 t=10596
fen bu qing 	分不清	c=1 d=0.0466538 t=10596
fen zhi 	分支	c=28 d=1.9214 t=10596
fen zhong 	分鐘	c=1 d=0.10383 t=10596
feng liang 	馮良	c=6 d=0.533614 t=10596
fou 	否	c=1 d=1.35055e-06 t=10596
fu 	付	c=1 d=0.169483 t=10596
fu gai 	覆蓋	c=1 d=0.0109701 t=10596
fu gai le 	覆蓋了	c=1 d=0.110251 t=10596
fu lan 	腐爛	c=1 d=0.00134011 t=10596
fu ling ling 	付玲玲	c=13 d=0.554728 t=10596
fu wu 	服務	c=3 d=0.186731 t=10596
fu wu duan 	服務端	c=1 d=0.0547488 t=10596
fu wu qi 	服務器	c=50 d=3.99655 t=10596
fu xian 	復現	c=6 d=0.979305 t=10596
fu za 	複雜	c=2 d=0.299573 t=10596
fu za le 	複雜了	c=1 d=0.149569 t=10596
fu ze 	負責	c=7 d=0.14771 t=10596
fu ze ren 	負責人	c=1 d=0.00606634 t=10596
gai 	改	c=10 d=0.927818 t=10596
gai 	該	c=3 d=0.064597 t=10596
gai bu 	改不	c=1 d=1.82305e-06 t=10596
gai bu 	概不	c=0 d=0.00151463 t=10596
gai bu le 	改不了	c=1 d=0.0152985 t=10596
gai bu le 	概不了	c=1 d=0.0152222 t=10596
gai cheng 	改成	c=4 d=0.65377 t=10596
gai dong 	改動	c=6 d=0.391649 t=10596
gai hui lai 	改回來	c=1 d=0.246597 t=10596
gai hui qu 	改回去	c=1 d=0.373439 t=10596
gai le 	改了	c=4 d=0.9826 t=10596
gai le xia 	改了下	c=1 d=0.00278085 t=10596
gai nian 	概念	c=1 d=0.00995182 t=10596
gai wei 	改爲	c=0 d=0.0951229 t=10596
gai xia 	改下	c=6 d=0.45612 t=10596
gan jue 	感覺	c=2 d=0.0277367 t=10596
gan zhi 	感知	c=1 d=1.72103e-05 t=10596
gang 	剛	c=14 d=0.47194 t=10596
gang cai 	剛纔	c=5 d=0.482791 t=10596
gang kai shi 	剛開始	c=1 d=0.00246639 t=10596
gang kan 	剛看	c=0 d=0.00317456 t=10596
gang kan cuo le 	剛看錯了	c=1 d=0.0319048 t=10596
gang li zhi 	剛理智	c=1 d=0.585669 t=10596
gang rang 	剛讓	c=1 d=0.000237581 t=10596
gang shi 	港式	c=1 d=0.115325 t=10596
gang shuo 	剛說	c=2 d=0.00433948 t=10596
gang wai hu 	剛外呼	c=1 d=0.055299 t=10596
gang wo 	剛我	c=1 d=0.10435 t=10596
gao dong 	搞懂	c=0 d=6.26727e-05 t=10596
gao liang 	高亮	c=1 d=1.08141e-09 t=10596
gao qing chu 	搞清楚	c=1 d=0.000581442 t=10596
gao su 	告訴	c=1 d=1.42003e-08 t=10596
ge 	個	c=24 d=1.57599 t=10596
ge shi 	格式	c=1 d=0.00218749 t=10596
gei 	給	c=50 d=1.09338 t=10596
gei ni 	給你	c=1 d=0.00235786 t=10596
gei ta 	給他	c=1 d=0.316637 t=10596
gen 	跟	c=25 d=1.5794 t=10596
gen cao zuo 	跟操作	c=1 d=0.255381 t=10596
gen guan 	根管	c=1 d=0.00132016 t=10596
gen ju 	根據	c=4 d=0.917271 t=10596
gen ni 	跟你	c=2 d=0.00369794 t=10596
gen ta 	跟他	c=1 d=0.600496 t=10596
gen zhe ge 	跟這個	c=1 d=8.4206e-08 t=10596
gong li 	公里	c=2 d=1.83115 t=10596
gong neng 	功能	c=13 d=0.831104 t=10596
gong si 	公司	c=0 d=0.0640824 t=10596
gong xiang 	共享	c=2 d=0.000896923 t=10596
gou 	夠	c=1 d=0.156453 t=10596
gou tong 	溝通	c=2 d=0.891366 t=10596
gou wu 	購物	c=1 d=0.477114 t=10596
gou zao 	構造	c=1 d=2.33559e-09 t=10596
gu de man 	固德滿	c=1 d=0.985112 t=10596
gu ding 	固定	c=2 d=0.265806 t=10596
gu ji 	估計	c=5 d=0.960789 t=10596
gua duan 	掛斷	c=21 d=0.517491 t=10596
guan 	管	c=2 d=0.343889 t=10596
guan bi 	關閉	c=25 d=1.60063 t=10596
guan ji 	關機	c=1 d=0.402524 t=10596
guan jian zi 	關鍵字	c=1 d=0.00711891 t=10596
guan li qi 	管理器	c=1 d=0.0510474 t=10596
guan li yuan 	管理員	c=1 d=0.00782838 t=10596
guan lian 	關聯	c=0 d=0.00250972 t=10596
guan lian xia 	關聯下	c=1 d=0.025223 t=10596
guan xi 	關係	c=11 d=1.60519 t=10596
guang 	光	c=3 d=0.214381 t=10596
guang bo 	廣播	c=10 d=0.00058259 t=10596
guang cong 	光從	c=1 d=0.97531 t=10596
guang sou suo 	光搜索	c=1 d=0.0095616 t=10596
gui 	桂	c=2 d=1.37187 t=10596
gui ge 	規格	c=1 d=0.0119145 t=10596
gui liang 	貴亮	c=1 d=0.66034 t=10596
gui shu 	歸屬	c=1 d=0.000761668 t=10596
guo 	過	c=15 d=0.421045 t=10596
guo bu lai 	過不來	c=1 d=2.20452e-06 t=10596
guo chang 	過長	c=1 d=0.198891 t=10596
guo cheng 	過程	c=3 d=0.0154108 t=10596
guo hou 	過後	c=1 d=0.396531 t=10596
guo hua 	國華	c=1 d=0.0018363 t=10596
guo ji 	國際	c=1 d=0.00308872 t=10596
guo jiang 	郭江	c=4 d=0.202513 t=10596
guo lai 	過來	c=4 d=0.729833 t=10596
guo qi 	國企	c=1 d=0.000829241 t=10596
guo qi 	過期	c=1 d=0.000833397 t=10596
guo qu 	過去	c=2 d=0.125417 t=10596
guo qu le 	過去了	c=1 d=4.17075e-07 t=10596
ha ha 	哈哈	c=6 d=1.7641 t=10596
hai 	還	c=20 d=1.61484 t=10596
hai bu qing chu 	還不清楚	c=2 d=1.75621 t=10596
hai bu xing 	還不行	c=1 d=0.00185476 t=10596
hai hao 	還好	c=3 d=0.00533872 t=10596
hai mei 	還沒	c=4 d=0.552644 t=10596
hai mei cha ne 	還沒查呢	c=1 d=0.0623495 t=10596
hai mei kan 	還沒看	c=1 d=0.00235786 t=10596
hai mei ne 	還沒呢	c=2 d=0.0596089 t=10596
hai mei sheng ji 	還沒升級	c=1 d=7.67598e-07 t=10596
hai mei you 	還沒有	c=13 d=1.36607 t=10596
hai shi 	還是	c=42 d=1.73469 t=10596
